n,density,reciprocity,runs,median_volume_compression,p10_volume_compression,median_worst_participant_saving,p10_worst_participant_saving,median_iou_count
3,0.5,0,178,0.0000,0.0000,0.0000,0.0000,4
3,0.5,0.1,176,0.0000,0.0000,0.0000,0.0000,4
3,0.5,0.2,172,0.1445,0.0000,0.0000,0.0000,5
3,0.5,0.3,175,0.2959,0.0000,0.0000,0.0000,5
3,0.5,0.4,172,0.4444,0.0000,0.0000,0.0000,6
3,0.5,0.5,175,0.5052,0.0000,0.0840,0.0000,6
3,0.5,0.6,174,0.5378,0.0000,0.2687,0.0000,6
3,0.5,0.7,175,0.6430,0.0000,0.3636,0.0000,7
3,0.5,0.8,171,0.6583,0.0000,0.3638,0.0000,7
3,0.5,0.9,172,0.6837,0.2860,0.4133,0.0441,8
3,0.5,1,184,0.7241,0.3207,0.5018,0.1407,8
5,0.5,0,200,0.3482,0.0000,0.0000,0.0000,12
5,0.5,0.1,200,0.4077,0.0569,0.0000,0.0000,13
5,0.5,0.2,200,0.4549,0.0890,0.0000,0.0000,14
5,0.5,0.3,200,0.5397,0.2462,0.0000,0.0000,16
5,0.5,0.4,200,0.5840,0.3323,0.0625,0.0000,18
5,0.5,0.5,200,0.6571,0.3434,0.1623,0.0000,20
5,0.5,0.6,200,0.6614,0.4200,0.2365,0.0000,21
5,0.5,0.7,200,0.7089,0.4680,0.3359,0.0000,20
5,0.5,0.8,200,0.7339,0.5558,0.3743,0.0000,24
5,0.5,0.9,199,0.7672,0.5754,0.4303,0.0444,23
5,0.5,1,200,0.7987,0.6508,0.5058,0.2676,25
10,0.5,0,200,0.5663,0.4176,0.0000,0.0000,56
10,0.5,0.1,200,0.6062,0.4757,0.0647,0.0000,61
10,0.5,0.2,200,0.6703,0.5105,0.1420,0.0000,67
10,0.5,0.3,200,0.6970,0.5749,0.1650,0.0000,71
10,0.5,0.4,200,0.7345,0.6282,0.2435,0.0000,80
10,0.5,0.5,200,0.7482,0.6566,0.2834,0.0000,82
10,0.5,0.6,200,0.7745,0.6834,0.3106,0.0286,88
10,0.5,0.7,200,0.8008,0.7290,0.4106,0.1098,97
10,0.5,0.8,200,0.8195,0.7482,0.4351,0.1691,99
10,0.5,0.9,200,0.8354,0.7587,0.4795,0.2752,108
10,0.5,1,200,0.8561,0.7947,0.5163,0.3293,114
20,0.5,0,200,0.7031,0.6345,0.1848,0.0318,235
20,0.5,0.1,200,0.7347,0.6836,0.2157,0.0844,264
20,0.5,0.2,200,0.7697,0.7119,0.2623,0.1118,285
20,0.5,0.3,200,0.7907,0.7437,0.3053,0.1581,306
20,0.5,0.4,200,0.8119,0.7584,0.3675,0.1994,330
20,0.5,0.5,200,0.8299,0.7817,0.3909,0.2226,354
20,0.5,0.6,200,0.8448,0.8013,0.4394,0.2716,379
20,0.5,0.7,200,0.8634,0.8254,0.4828,0.3271,405
20,0.5,0.8,200,0.8764,0.8406,0.5175,0.3828,425
20,0.5,0.9,200,0.8877,0.8561,0.5671,0.4024,445
20,0.5,1,200,0.8986,0.8759,0.5913,0.4764,480
50,0.5,0,200,0.8175,0.7863,0.3085,0.2092,1530
50,0.5,0.1,200,0.8362,0.8110,0.3653,0.2547,1684
50,0.5,0.2,200,0.8541,0.8352,0.4149,0.3016,1840
50,0.5,0.3,200,0.8710,0.8541,0.4491,0.3326,1999
50,0.5,0.4,200,0.8811,0.8652,0.4862,0.3742,2141
50,0.5,0.5,200,0.8935,0.8771,0.5310,0.4306,2301
50,0.5,0.6,200,0.9035,0.8903,0.5659,0.4646,2444
50,0.5,0.7,200,0.9117,0.9010,0.5917,0.4956,2599
50,0.5,0.8,200,0.9206,0.9098,0.6301,0.5309,2761
50,0.5,0.9,200,0.9268,0.9173,0.6618,0.5773,2904
50,0.5,1,200,0.9341,0.9257,0.6795,0.6051,3052
2,0.5,0.8,109,0.4620,0.0000,0.3004,0.0000,5
3,0.5,0.8,171,0.6583,0.0000,0.3638,0.0000,7
4,0.5,0.8,199,0.6940,0.4050,0.3396,0.0260,13
5,0.5,0.8,200,0.7339,0.5558,0.3743,0.0000,24
8,0.5,0.8,200,0.7928,0.6875,0.4209,0.0845,63
10,0.5,0.8,200,0.8195,0.7482,0.4351,0.1691,99
15,0.5,0.8,200,0.8522,0.8112,0.4782,0.3248,236
20,0.5,0.8,200,0.8764,0.8406,0.5175,0.3828,425
30,0.5,0.8,200,0.8962,0.8770,0.5725,0.4413,987
50,0.5,0.8,200,0.9206,0.9098,0.6301,0.5309,2761
10,0.1,0.8,195,0.6634,0.4668,0.1388,0.0000,21
10,0.2,0.8,200,0.7442,0.6081,0.2027,0.0000,43
10,0.3,0.8,200,0.7714,0.6568,0.3132,0.0000,61
10,0.4,0.8,200,0.8037,0.7196,0.3742,0.0642,80
10,0.5,0.8,200,0.8195,0.7482,0.4351,0.1691,99
10,0.6,0.8,200,0.8351,0.7693,0.4717,0.2701,122
10,0.7,0.8,200,0.8470,0.7870,0.5155,0.3353,142
10,0.8,0.8,200,0.8564,0.8068,0.5420,0.3716,161
10,0.9,0.8,200,0.8591,0.8117,0.5623,0.3971,182
10,1,0.8,200,0.8718,0.8221,0.5817,0.4310,201
